SurveyIDR12,SiteID,Total20,Total40,Detected20,Detected40,NMPresent,TotalMiner20,TotalMiner40,DetectedMiner20,DetectedMiner40,Threshold20m,Threshold40m
GP4_Winter_2019,GP4,53,92,13,14,1,3,6,1,1,1,1
GP4_Winter_2020,GP4,46,55,14,15,1,1,1,1,1,0,0
GP4_Winter_2021,GP4,84,87,15,17,0,0,0,0,0,0,0
IG1_Autumn_2021,IG1,46,46,10,10,1,17,17,1,1,1,1
IG1_SpringE_2020,IG1,35,49,11,14,1,13,16,1,1,1,1
IG1_SpringL_2019,IG1,56,94,21,24,1,7,9,1,1,1,1
IG1_SpringL_2020,IG1,49,77,15,21,1,12,15,1,1,1,1
IG1_SpringL_2021,IG1,55,74,16,22,1,5,7,1,1,1,1
IG1_Summer_2019,IG1,31,72,12,22,1,7,11,1,1,1,1
IG1_Summer_2020,IG1,49,59,12,15,1,19,19,1,1,1,1
IG1_Summer_2021,IG1,83,98,12,17,1,8,8,1,1,1,1
IG1_Winter_2019,IG1,21,88,8,14,1,3,19,1,1,1,1
IG1_Winter_2020,IG1,71,113,10,12,1,11,15,1,1,1,1
IG1_Winter_2021,IG1,42,56,8,10,1,11,11,1,1,1,1
IG2_Autumn_2021,IG2,60,78,9,13,1,6,6,1,1,1,1
IG2_SpringE_2020,IG2,65,84,19,24,0,0,0,0,0,0,0
IG2_SpringL_2019,IG2,39,85,14,26,1,1,1,1,1,0,0
IG2_SpringL_2020,IG2,76,97,24,27,1,5,5,1,1,1,1
IG2_SpringL_2021,IG2,56,79,21,30,1,10,10,1,1,1,1
IG2_Summer_2019,IG2,35,70,14,22,1,0,5,0,1,0,1
IG2_Summer_2020,IG2,45,64,13,18,1,7,7,1,1,1,1
IG2_Summer_2021,IG2,51,80,24,37,1,0,2,0,1,0,0
IG2_Winter_2019,IG2,38,102,15,17,1,12,31,1,1,1,1
IG2_Winter_2020,IG2,46,78,13,17,1,0,2,0,1,0,0
IG2_Winter_2021,IG2,62,78,16,19,1,8,11,1,1,1,1
RC1_Autumn_2021,RC1,52,83,20,20,0,0,0,0,0,0,0
RC1_SpringE_2020,RC1,24,37,13,16,0,0,0,0,0,0,0
RC1_SpringL_2019,RC1,53,78,22,32,1,0,1,0,1,0,0
RC1_SpringL_2020,RC1,33,53,14,17,0,0,0,0,0,0,0
RC1_SpringL_2021,RC1,43,71,18,18,0,0,0,0,0,0,0
RC1_Summer_2019,RC1,17,44,8,14,1,6,13,1,1,1,1
RC1_Summer_2020,RC1,44,66,17,17,0,0,0,0,0,0,0
RC1_Summer_2021,RC1,69,103,21,21,0,0,0,0,0,0,0
RC1_Winter_2019,RC1,68,129,27,32,1,3,3,1,1,1,0
RC1_Winter_2020,RC1,28,40,13,16,1,8,8,1,1,1,1
RC1_Winter_2021,RC1,67,102,26,26,0,0,0,0,0,0,0
RC2_Autumn_2021,RC2,37,56,14,16,0,0,0,0,0,0,0
RC2_SpringE_2020,RC2,37,58,13,14,0,0,0,0,0,0,0
RC2_SpringL_2019,RC2,54,76,24,28,0,0,0,0,0,0,0
RC2_SpringL_2020,RC2,35,57,15,17,0,0,0,0,0,0,0
RC2_SpringL_2021,RC2,32,53,15,17,0,0,0,0,0,0,0
RC2_Summer_2019,RC2,18,42,10,20,1,4,4,1,1,1,1
RC2_Summer_2020,RC2,28,46,13,15,0,0,0,0,0,0,0
RC2_Summer_2021,RC2,47,60,17,17,0,0,0,0,0,0,0
RC2_Winter_2019,RC2,31,93,18,22,1,1,1,1,1,0,0
RC2_Winter_2020,RC2,31,43,16,17,0,0,0,0,0,0,0
RC2_Winter_2021,RC2,57,92,19,21,0,0,0,0,0,0,0
RC3_Autumn_2021,RC3,50,111,14,18,0,0,0,0,0,0,0
RC3_SpringE_2020,RC3,113,147,18,20,0,0,0,0,0,0,0
RC3_SpringL_2019,RC3,25,54,12,20,1,0,2,0,1,0,0
RC3_SpringL_2020,RC3,85,137,15,20,0,0,0,0,0,0,0
RC3_SpringL_2021,RC3,41,75,16,23,0,0,0,0,0,0,0
RC3_Summer_2019,RC3,44,65,13,22,0,0,0,0,0,0,0
RC3_Summer_2020,RC3,56,94,13,18,0,0,0,0,0,0,0
RC3_Summer_2021,RC3,85,113,18,21,0,0,0,0,0,0,0
RC3_Winter_2019,RC3,41,90,12,21,0,0,0,0,0,0,0
RC3_Winter_2020,RC3,121,165,14,20,0,0,0,0,0,0,0
RC3_Winter_2021,RC3,68,168,23,25,0,0,0,0,0,0,0
RC4_Autumn_2021,RC4,49,65,19,21,0,0,0,0,0,0,0
RC4_SpringE_2020,RC4,51,81,13,16,0,0,0,0,0,0,0
RC4_SpringL_2019,RC4,28,40,14,16,1,1,1,1,1,0,0
RC4_SpringL_2020,RC4,48,77,14,16,0,0,0,0,0,0,0
RC4_SpringL_2021,RC4,74,99,23,25,0,0,0,0,0,0,0
RC4_Summer_2019,RC4,51,101,9,15,0,0,0,0,0,0,0
RC4_Summer_2020,RC4,34,52,14,16,0,0,0,0,0,0,0
RC4_Summer_2021,RC4,68,83,19,22,0,0,0,0,0,0,0
RC4_Winter_2019,RC4,37,87,12,17,0,0,0,0,0,0,0
RC4_Winter_2020,RC4,56,86,13,16,0,0,0,0,0,0,0
RC4_Winter_2021,RC4,54,69,21,21,0,0,0,0,0,0,0
RC5_Autumn_2021,RC5,48,74,20,21,0,0,0,0,0,0,0
RC5_SpringE_2020,RC5,41,49,15,17,0,0,0,0,0,0,0
RC5_SpringL_2019,RC5,31,47,13,17,0,0,0,0,0,0,0
RC5_SpringL_2020,RC5,23,30,12,14,0,0,0,0,0,0,0
RC5_SpringL_2021,RC5,54,64,17,17,0,0,0,0,0,0,0
RC5_Summer_2019,RC5,68,128,13,21,1,0,2,0,1,0,0
RC5_Summer_2020,RC5,32,39,12,14,0,0,0,0,0,0,0
RC5_Summer_2021,RC5,55,66,17,18,0,0,0,0,0,0,0
RC5_Winter_2019,RC5,53,111,12,19,0,0,0,0,0,0,0
RC5_Winter_2020,RC5,23,27,12,14,0,0,0,0,0,0,0
RC5_Winter_2021,RC5,49,73,22,24,0,0,0,0,0,0,0
RC6_Autumn_2021,RC6,39,64,14,18,1,3,3,1,1,1,0
RC6_SpringE_2020,RC6,23,38,7,14,1,7,7,1,1,1,1
RC6_SpringL_2019,RC6,29,45,13,17,1,2,3,1,1,1,0
RC6_SpringL_2020,RC6,41,72,8,16,1,3,3,1,1,1,0
RC6_SpringL_2021,RC6,20,33,10,13,1,2,3,1,1,1,0
RC6_Summer_2019,RC6,108,161,11,16,1,12,12,1,1,1,1
RC6_Summer_2020,RC6,18,37,8,14,1,3,3,1,1,1,0
RC6_Summer_2021,RC6,20,48,9,16,1,4,6,1,1,1,1
RC6_Winter_2019,RC6,24,55,10,15,1,8,19,1,1,1,1
RC6_Winter_2020,RC6,24,39,7,14,1,7,7,1,1,1,1
RC6_Winter_2021,RC6,42,71,12,20,1,4,8,1,1,1,1
SR1_Autumn_2021,SR1,66,74,13,15,1,19,22,1,1,1,1
SR1_SpringE_2020,SR1,53,94,18,23,1,12,18,1,1,1,1
SR1_SpringL_2019,SR1,54,81,16,20,1,10,17,1,1,1,1
SR1_SpringL_2020,SR1,38,57,15,20,1,14,16,1,1,1,1
SR1_SpringL_2021,SR1,36,50,16,20,1,5,8,1,1,1,1
SR1_Summer_2019,SR1,44,94,14,20,1,9,16,1,1,1,1
SR1_Summer_2020,SR1,60,85,11,17,1,21,25,1,1,1,1
SR1_Summer_2021,SR1,33,38,8,11,1,8,8,1,1,1,1
SR1_Winter_2019,SR1,49,142,10,14,1,15,39,1,1,1,1
SR1_Winter_2020,SR1,111,145,12,14,1,11,18,1,1,1,1
SR1_Winter_2021,SR1,86,165,13,18,1,8,13,1,1,1,1
SR10_Autumn_2021,SR10,40,44,14,16,0,0,0,0,0,0,0
SR10_SpringE_2020,SR10,37,43,11,14,0,0,0,0,0,0,0
SR10_SpringL_2019,SR10,14,41,8,17,0,0,0,0,0,0,0
SR10_SpringL_2020,SR10,27,33,11,12,0,0,0,0,0,0,0
SR10_SpringL_2021,SR10,25,35,17,21,0,0,0,0,0,0,0
SR10_Summer_2019,SR10,30,48,12,18,0,0,0,0,0,0,0
SR10_Summer_2020,SR10,17,21,13,15,0,0,0,0,0,0,0
SR10_Summer_2021,SR10,24,38,13,19,1,0,1,0,1,0,0
SR10_Winter_2019,SR10,23,61,7,13,0,0,0,0,0,0,0
SR10_Winter_2020,SR10,35,75,13,22,0,0,0,0,0,0,0
SR10_Winter_2021,SR10,62,87,19,23,0,0,0,0,0,0,0
SR2_Autumn_2021,SR2,34,59,13,15,1,1,2,1,1,0,0
SR2_SpringE_2020,SR2,79,110,13,14,1,7,9,1,1,1,1
SR2_SpringL_2019,SR2,46,72,16,19,1,7,10,1,1,1,1
SR2_SpringL_2020,SR2,53,98,13,18,1,5,21,1,1,1,1
SR2_SpringL_2021,SR2,27,35,10,13,1,4,4,1,1,1,1
SR2_Summer_2019,SR2,41,79,9,18,1,4,7,1,1,1,1
SR2_Summer_2020,SR2,51,59,11,14,1,13,13,1,1,1,1
SR2_Summer_2021,SR2,15,20,6,8,1,2,2,1,1,1,0
SR2_Winter_2019,SR2,34,113,8,12,1,8,30,1,1,1,1
SR2_Winter_2020,SR2,74,92,12,17,1,8,12,1,1,1,1
SR2_Winter_2021,SR2,98,132,12,18,1,13,13,1,1,1,1
SR3_Autumn_2021,SR3,35,36,10,10,1,2,2,1,1,1,0
SR3_SpringE_2020,SR3,49,63,17,19,1,1,1,1,1,0,0
SR3_SpringL_2019,SR3,53,97,17,25,1,0,5,0,1,0,1
SR3_SpringL_2020,SR3,58,89,13,22,1,6,7,1,1,1,1
SR3_SpringL_2021,SR3,35,42,18,20,0,0,0,0,0,0,0
SR3_Summer_2019,SR3,38,76,10,16,0,0,0,0,0,0,0
SR3_Summer_2020,SR3,22,25,14,17,0,0,0,0,0,0,0
SR3_Summer_2021,SR3,45,70,11,24,0,0,0,0,0,0,0
SR3_Winter_2019,SR3,17,48,8,13,1,0,2,0,1,0,0
SR3_Winter_2020,SR3,49,85,13,21,1,3,3,1,1,1,0
SR3_Winter_2021,SR3,77,81,22,23,1,13,13,1,1,1,1
SR4_Autumn_2021,SR4,17,28,9,12,1,0,2,0,1,0,0
SR4_SpringE_2020,SR4,30,44,11,14,0,0,0,0,0,0,0
SR4_SpringL_2019,SR4,70,82,23,23,1,2,2,1,1,1,0
SR4_SpringL_2020,SR4,37,47,14,15,1,5,5,1,1,1,1
SR4_SpringL_2021,SR4,29,43,15,21,0,0,0,0,0,0,0
SR4_Summer_2019,SR4,20,29,7,9,1,3,3,1,1,1,0
SR4_Summer_2020,SR4,11,25,8,15,1,1,1,1,1,0,0
SR4_Summer_2021,SR4,40,54,18,22,1,2,7,1,1,1,1
SR4_Winter_2019,SR4,29,60,10,14,1,2,2,1,1,1,0
SR4_Winter_2020,SR4,27,36,7,10,1,0,2,0,1,0,0
SR4_Winter_2021,SR4,68,79,13,16,1,17,17,1,1,1,1
SR5_Autumn_2021,SR5,63,76,16,19,0,0,0,0,0,0,0
SR5_SpringE_2020,SR5,75,101,18,19,0,0,0,0,0,0,0
SR5_SpringL_2019,SR5,55,88,19,21,0,0,0,0,0,0,0
SR5_SpringL_2020,SR5,106,132,26,28,1,2,2,1,1,1,0
SR5_SpringL_2021,SR5,43,62,21,28,0,0,0,0,0,0,0
SR5_Summer_2019,SR5,21,60,9,14,0,0,0,0,0,0,0
SR5_Summer_2020,SR5,74,79,16,18,0,0,0,0,0,0,0
SR5_Summer_2021,SR5,89,103,27,30,0,0,0,0,0,0,0
SR5_Winter_2019,SR5,38,96,13,17,1,3,5,1,1,1,1
SR5_Winter_2020,SR5,86,137,15,19,0,0,0,0,0,0,0
SR5_Winter_2021,SR5,107,125,22,23,1,3,4,1,1,1,1
SR6_Autumn_2021,SR6,109,139,22,27,1,2,3,1,1,1,0
SR6_SpringE_2020,SR6,46,69,14,20,0,0,0,0,0,0,0
SR6_SpringL_2019,SR6,91,131,26,32,1,0,1,0,1,0,0
SR6_SpringL_2020,SR6,92,124,28,31,0,0,0,0,0,0,0
SR6_SpringL_2021,SR6,51,64,25,29,0,0,0,0,0,0,0
SR6_Summer_2019,SR6,25,51,10,16,0,0,0,0,0,0,0
SR6_Summer_2020,SR6,72,88,23,28,0,0,0,0,0,0,0
SR6_Summer_2021,SR6,72,100,31,37,0,0,0,0,0,0,0
SR6_Winter_2019,SR6,57,126,16,23,0,0,0,0,0,0,0
SR6_Winter_2020,SR6,67,78,20,22,1,8,10,1,1,1,1
SR6_Winter_2021,SR6,83,113,21,24,1,4,4,1,1,1,1
SR7_Autumn_2021,SR7,26,28,13,14,1,3,3,1,1,1,0
SR7_SpringE_2020,SR7,25,29,8,10,1,4,4,1,1,1,1
SR7_SpringL_2019,SR7,71,100,18,24,0,0,0,0,0,0,0
SR7_SpringL_2020,SR7,38,47,14,17,1,15,15,1,1,1,1
SR7_SpringL_2021,SR7,26,31,13,15,1,7,7,1,1,1,1
SR7_Summer_2019,SR7,21,33,6,9,1,3,4,1,1,1,1
SR7_Summer_2020,SR7,22,30,10,12,1,11,11,1,1,1,1
SR7_Summer_2021,SR7,23,35,10,14,1,8,8,1,1,1,1
SR7_Winter_2019,SR7,21,57,12,15,1,4,12,1,1,1,1
SR7_Winter_2020,SR7,36,43,10,13,1,9,9,1,1,1,1
SR7_Winter_2021,SR7,62,78,14,21,1,17,17,1,1,1,1
SR8_Autumn_2021,SR8,39,40,11,12,0,0,0,0,0,0,0
SR8_SpringE_2020,SR8,32,47,8,11,0,0,0,0,0,0,0
SR8_SpringL_2019,SR8,37,76,17,21,0,0,0,0,0,0,0
SR8_SpringL_2020,SR8,58,79,20,21,0,0,0,0,0,0,0
SR8_SpringL_2021,SR8,31,44,13,20,0,0,0,0,0,0,0
SR8_Summer_2019,SR8,15,24,6,9,1,1,1,1,1,0,0
SR8_Summer_2020,SR8,16,20,7,10,0,0,0,0,0,0,0
SR8_Summer_2021,SR8,28,48,12,19,0,0,0,0,0,0,0
SR8_Winter_2019,SR8,26,71,11,15,0,0,0,0,0,0,0
SR8_Winter_2020,SR8,43,80,15,22,1,4,6,1,1,1,1
SR8_Winter_2021,SR8,59,66,11,13,0,0,0,0,0,0,0
SR9_Autumn_2021,SR9,42,52,15,19,0,0,0,0,0,0,0
SR9_SpringE_2020,SR9,52,64,19,24,0,0,0,0,0,0,0
SR9_SpringL_2019,SR9,40,56,17,18,0,0,0,0,0,0,0
SR9_SpringL_2020,SR9,50,61,21,22,0,0,0,0,0,0,0
SR9_SpringL_2021,SR9,37,52,16,23,0,0,0,0,0,0,0
SR9_Summer_2019,SR9,14,54,6,15,0,0,0,0,0,0,0
SR9_Summer_2020,SR9,19,40,9,15,0,0,0,0,0,0,0
SR9_Summer_2021,SR9,34,49,23,27,0,0,0,0,0,0,0
SR9_Winter_2019,SR9,27,84,10,12,0,0,0,0,0,0,0
SR9_Winter_2020,SR9,43,58,14,21,0,0,0,0,0,0,0
SR9_Winter_2021,SR9,58,82,20,24,1,4,4,1,1,1,1
Y1_Autumn_2021,Y1,55,94,21,29,1,5,8,1,1,1,1
Y1_SpringE_2020,Y1,51,59,14,14,1,15,22,1,1,1,1
Y1_SpringL_2019,Y1,50,65,11,12,1,15,15,1,1,1,1
Y1_SpringL_2020,Y1,47,60,14,14,1,15,23,1,1,1,1
Y1_SpringL_2021,Y1,35,50,20,26,1,0,5,0,1,0,1
Y1_Summer_2019,Y1,16,33,6,13,1,7,10,1,1,1,1
Y1_Summer_2020,Y1,54,67,14,14,1,20,30,1,1,1,1
Y1_Summer_2021,Y1,44,63,21,25,1,6,6,1,1,1,1
Y1_Winter_2019,Y1,46,66,16,16,1,15,15,1,1,1,1
Y1_Winter_2020,Y1,52,68,12,12,1,18,33,1,1,1,1
Y1_Winter_2021,Y1,41,58,12,17,1,8,8,1,1,1,1
Y2_Autumn_2021,Y2,95,155,27,30,0,0,0,0,0,0,0
Y2_SpringE_2020,Y2,35,55,10,13,0,0,0,0,0,0,0
Y2_SpringL_2019,Y2,38,59,14,20,1,3,3,1,1,1,0
Y2_SpringL_2020,Y2,63,113,13,16,1,5,9,1,1,1,1
Y2_SpringL_2021,Y2,33,54,17,25,0,0,0,0,0,0,0
Y2_Summer_2019,Y2,57,93,16,24,1,2,2,1,1,1,0
Y2_Summer_2020,Y2,62,120,17,20,0,0,0,0,0,0,0
Y2_Summer_2021,Y2,45,60,20,28,0,0,0,0,0,0,0
Y2_Winter_2019,Y2,39,74,14,18,1,8,13,1,1,1,1
Y2_Winter_2020,Y2,41,69,10,13,0,0,0,0,0,0,0
Y2_Winter_2021,Y2,47,72,14,19,1,0,3,0,1,0,0
Y3_Autumn_2021,Y3,50,79,17,22,0,0,0,0,0,0,0
Y3_SpringE_2020,Y3,31,44,12,14,1,0,2,0,1,0,0
Y3_SpringL_2019,Y3,41,69,14,16,1,2,3,1,1,1,0
Y3_SpringL_2020,Y3,49,69,14,16,1,0,2,0,1,0,0
Y3_SpringL_2021,Y3,38,55,16,22,0,0,0,0,0,0,0
Y3_Summer_2019,Y3,28,53,10,16,1,8,8,1,1,1,1
Y3_Summer_2020,Y3,47,65,14,15,1,3,5,1,1,1,1
Y3_Summer_2021,Y3,29,44,14,22,1,0,2,0,1,0,0
Y3_Winter_2019,Y3,42,90,13,14,1,5,10,1,1,1,1
Y3_Winter_2020,Y3,34,46,11,13,1,0,2,0,1,0,0
Y3_Winter_2021,Y3,41,68,11,14,1,1,1,1,1,0,0
Y4_Autumn_2021,Y4,43,68,12,18,1,8,8,1,1,1,1
Y4_SpringE_2020,Y4,42,63,15,15,0,0,0,0,0,0,0
Y4_SpringL_2019,Y4,56,76,20,22,1,4,4,1,1,1,1
Y4_SpringL_2020,Y4,47,68,16,16,0,0,0,0,0,0,0
Y4_SpringL_2021,Y4,152,180,18,31,1,0,8,0,1,0,1
Y4_Summer_2019,Y4,39,77,14,24,1,4,6,1,1,1,1
Y4_Summer_2020,Y4,54,75,16,16,0,0,0,0,0,0,0
Y4_Summer_2021,Y4,32,46,19,24,1,4,4,1,1,1,1
Y4_Winter_2019,Y4,57,100,19,21,1,10,10,1,1,1,1
Y4_Winter_2020,Y4,42,63,15,15,1,3,3,1,1,1,0
Y4_Winter_2021,Y4,45,60,16,17,1,5,5,1,1,1,1
Y5_Autumn_2021,Y5,43,52,15,18,1,7,9,1,1,1,1
Y5_SpringE_2020,Y5,43,53,10,12,1,5,7,1,1,1,1
Y5_SpringL_2019,Y5,96,177,26,31,1,6,7,1,1,1,1
Y5_SpringL_2020,Y5,58,77,14,16,1,3,5,1,1,1,1
Y5_SpringL_2021,Y5,31,37,13,16,1,10,10,1,1,1,1
Y5_Summer_2019,Y5,36,58,15,16,1,6,7,1,1,1,1
Y5_Summer_2020,Y5,55,74,13,15,1,3,5,1,1,1,1
Y5_Summer_2021,Y5,13,22,8,13,1,5,5,1,1,1,1
Y5_Winter_2019,Y5,55,78,11,13,1,15,15,1,1,1,1
Y5_Winter_2020,Y5,43,53,11,13,1,3,5,1,1,1,1
Y5_Winter_2021,Y5,41,55,10,11,1,9,13,1,1,1,1
Y6_Autumn_2021,Y6,57,96,20,30,1,2,2,1,1,1,0
Y6_SpringE_2020,Y6,38,53,9,11,1,5,6,1,1,1,1
Y6_SpringL_2019,Y6,7,29,4,16,0,0,0,0,0,0,0
Y6_SpringL_2020,Y6,73,94,12,15,1,7,9,1,1,1,1
Y6_SpringL_2021,Y6,49,61,24,28,0,0,0,0,0,0,0
Y6_Summer_2019,Y6,50,71,16,22,1,3,3,1,1,1,0
Y6_Summer_2020,Y6,58,79,12,15,1,12,14,1,1,1,1
Y6_Summer_2021,Y6,42,48,22,23,0,0,0,0,0,0,0
Y6_Winter_2019,Y6,34,66,10,12,0,0,0,0,0,0,0
Y6_Winter_2020,Y6,50,66,10,13,1,15,22,1,1,1,1
Y6_Winter_2021,Y6,35,51,16,20,1,0,2,0,1,0,0
