SurveyIDR12,SiteID,Mean20m,Mean40m,Detected20,Detected40,NMPresent,TotalMiner20,TotalMiner40,MeanMiner20m,MeanMiner40m,Threshold20m,Threshold40m,NumberOFRepeats
GP4_Winter_2020,GP4,38.5,53,20,21,1,4,4,2,2,0,0,2
GP4_Winter_2021,GP4,72.5,86.5,22,26,0,0,0,0,0,0,0,2
IG1_Autumn_2021,IG1,45.5,54.5,13,14,1,28,28,14,14,1,1,2
IG1_SpringE_2020,IG1,39.5,49,19,22,1,22,25,11,12.5,1,1,2
IG1_SpringL_2019,IG1,66,104.5,26,31,1,14,19,7,9.5,1,1,2
IG1_SpringL_2020,IG1,44.5,64,23,26,1,24,27,12,13.5,1,1,2
IG1_SpringL_2021,IG1,43.5,58.5,21,24,1,12,15,6,7.5,1,1,2
IG1_Summer_2019,IG1,34.5,70.5,20,30,1,14,21,7,10.5,1,1,2
IG1_Summer_2020,IG1,39,46.5,17,20,1,36,36,18,18,1,1,2
IG1_Summer_2021,IG1,90.5,102.5,19,24,1,16,16,8,8,1,1,2
IG1_Winter_2019,IG1,21.5,74,12,18,1,9,37,4.5,18.5,1,1,2
IG1_Winter_2020,IG1,64,104.5,15,23,1,19,23,9.5,11.5,1,1,2
IG1_Winter_2021,IG1,55,65.5,21,22,1,22,24,11,12,1,1,2
IG2_Autumn_2021,IG2,47,62.5,11,15,1,10,10,5,5,1,0,2
IG2_SpringE_2020,IG2,65,81.5,24,28,0,0,0,0,0,0,0,2
IG2_SpringL_2019,IG2,51.5,112.5,22,34,1,5,5,2.5,2.5,1,0,2
IG2_SpringL_2020,IG2,54,71,29,33,1,9,10,4.5,5,1,0,2
IG2_SpringL_2021,IG2,49.5,71,32,41,1,13,13,6.5,6.5,1,0,2
IG2_Summer_2019,IG2,49,81.5,24,34,1,4,10,2,5,0,0,2
IG2_Summer_2020,IG2,36.5,50,18,25,1,7,7,3.5,3.5,1,0,2
IG2_Summer_2021,IG2,51.5,77.5,32,44,1,0,3,0,1.5,0,0,2
IG2_Winter_2019,IG2,35,95.5,19,22,1,15,48,7.5,24,1,1,2
IG2_Winter_2020,IG2,70,105.5,22,26,1,6,8,3,4,1,0,2
IG2_Winter_2021,IG2,69.5,91.5,29,31,1,14,17,7,8.5,1,1,2
RC1_Autumn_2021,RC1,67,96.5,31,31,0,0,0,0,0,0,0,2
RC1_SpringE_2020,RC1,27.5,41,20,23,0,0,0,0,0,0,0,2
RC1_SpringL_2019,RC1,33.5,53,25,37,1,3,4,1.5,2,0,0,2
RC1_SpringL_2020,RC1,33,51,20,24,0,0,0,0,0,0,0,2
RC1_SpringL_2021,RC1,45,63.5,27,27,0,0,0,0,0,0,0,2
RC1_Summer_2020,RC1,51,71.5,23,24,0,0,0,0,0,0,0,2
RC1_Summer_2021,RC1,57,83.5,33,33,0,0,0,0,0,0,0,2
RC1_Winter_2019,RC1,67.5,123,32,36,1,13,13,6.5,6.5,1,0,2
RC1_Winter_2020,RC1,30.5,43,18,21,1,13,14,6.5,7,1,1,2
RC1_Winter_2021,RC1,66.5,96.5,35,36,0,0,0,0,0,0,0,2
RC2_Autumn_2021,RC2,55.5,84,29,31,0,0,0,0,0,0,0,2
RC2_SpringE_2020,RC2,44,75.5,23,25,0,0,0,0,0,0,0,2
RC2_SpringL_2019,RC2,43,63,31,36,1,1,1,0.5,0.5,0,0,2
RC2_SpringL_2020,RC2,47.5,77.5,25,28,0,0,0,0,0,0,0,2
RC2_SpringL_2021,RC2,44.5,68,29,30,0,0,0,0,0,0,0,2
RC2_Summer_2020,RC2,45.5,70.5,24,26,0,0,0,0,0,0,0,2
RC2_Summer_2021,RC2,58.5,79,29,31,0,0,0,0,0,0,0,2
RC2_Winter_2019,RC2,53.5,105,27,31,1,1,5,0.5,2.5,0,0,2
RC2_Winter_2020,RC2,44.5,69,24,27,0,0,0,0,0,0,0,2
RC2_Winter_2021,RC2,69.5,101.5,27,27,0,0,0,0,0,0,0,2
RC3_Autumn_2021,RC3,65.5,123.5,28,31,0,0,0,0,0,0,0,2
RC3_SpringE_2020,RC3,80.5,122,25,30,0,0,0,0,0,0,0,2
RC3_SpringL_2019,RC3,21.5,42.5,16,26,1,0,2,0,1,0,0,2
RC3_SpringL_2020,RC3,74,127.5,21,28,0,0,0,0,0,0,0,2
RC3_SpringL_2021,RC3,54,83,30,34,0,0,0,0,0,0,0,2
RC3_Summer_2020,RC3,57,98.5,22,27,0,0,0,0,0,0,0,2
RC3_Summer_2021,RC3,71,95,33,36,0,0,0,0,0,0,0,2
RC3_Winter_2019,RC3,49,92.5,19,27,1,3,5,1.5,2.5,0,0,2
RC3_Winter_2020,RC3,90,131.5,20,28,0,0,0,0,0,0,0,2
RC3_Winter_2021,RC3,72.5,154,28,31,0,0,0,0,0,0,0,2
RC4_Autumn_2021,RC4,65,107,32,34,0,0,0,0,0,0,0,2
RC4_SpringE_2020,RC4,67.5,99.5,24,26,0,0,0,0,0,0,0,2
RC4_SpringL_2019,RC4,30.5,51.5,20,24,1,1,1,0.5,0.5,0,0,2
RC4_SpringL_2020,RC4,59,98.5,24,26,0,0,0,0,0,0,0,2
RC4_SpringL_2021,RC4,80,111.5,34,35,0,0,0,0,0,0,0,2
RC4_Summer_2020,RC4,46,75.5,26,28,0,0,0,0,0,0,0,2
RC4_Summer_2021,RC4,61,90.5,33,35,0,0,0,0,0,0,0,2
RC4_Winter_2019,RC4,38,73,22,25,0,0,0,0,0,0,0,2
RC4_Winter_2020,RC4,88,110,21,23,0,0,0,0,0,0,0,2
RC4_Winter_2021,RC4,68.5,106.5,32,32,0,0,0,0,0,0,0,2
RC5_Autumn_2021,RC5,54,79,31,32,0,0,0,0,0,0,0,2
RC5_SpringE_2020,RC5,35,46.5,20,22,0,0,0,0,0,0,0,2
RC5_SpringL_2019,RC5,32,43,21,26,1,1,1,0.5,0.5,0,0,2
RC5_SpringL_2020,RC5,22.5,32,17,20,0,0,0,0,0,0,0,2
RC5_SpringL_2021,RC5,52,65.5,27,27,0,0,0,0,0,0,0,2
RC5_Summer_2020,RC5,34,46,22,23,0,0,0,0,0,0,0,2
RC5_Summer_2021,RC5,49.5,62,28,29,0,0,0,0,0,0,0,2
RC5_Winter_2019,RC5,50.5,99,18,22,0,0,0,0,0,0,0,2
RC5_Winter_2020,RC5,22,31,16,17,0,0,0,0,0,0,0,2
RC5_Winter_2021,RC5,52,75,29,31,0,0,0,0,0,0,0,2
RC6_Autumn_2021,RC6,42.5,70.5,25,27,1,3,3,1.5,1.5,0,0,2
RC6_SpringE_2020,RC6,22,41,13,20,1,12,14,6,7,1,1,2
RC6_SpringL_2019,RC6,26.5,43,17,23,1,2,5,1,2.5,0,0,2
RC6_SpringL_2020,RC6,42,73.5,15,23,1,3,3,1.5,1.5,0,0,2
RC6_SpringL_2021,RC6,21.5,39.5,20,27,1,2,4,1,2,0,0,2
RC6_Summer_2020,RC6,34.5,61,19,24,1,8,9,4,4.5,1,0,2
RC6_Summer_2021,RC6,23.5,43.5,19,22,1,8,10,4,5,1,0,2
RC6_Winter_2019,RC6,40,83,21,26,1,12,37,6,18.5,1,1,2
RC6_Winter_2020,RC6,25,43,13,20,1,12,14,6,7,1,1,2
RC6_Winter_2021,RC6,51.5,83.5,26,30,1,6,13,3,6.5,1,0,2
SR1_Autumn_2021,SR1,50.5,56,15,17,1,39,42,19.5,21,1,1,2
SR1_SpringE_2020,SR1,49.5,77.5,21,26,1,22,29,11,14.5,1,1,2
SR1_SpringL_2019,SR1,55.5,79,23,24,1,19,31,9.5,15.5,1,1,2
SR1_SpringL_2020,SR1,45,63,21,26,1,27,29,13.5,14.5,1,1,2
SR1_SpringL_2021,SR1,32,45.5,17,22,1,10,13,5,6.5,1,0,2
SR1_Summer_2019,SR1,40,81.5,18,23,1,18,27,9,13.5,1,1,2
SR1_Summer_2020,SR1,54,67,15,20,1,39,43,19.5,21.5,1,1,2
SR1_Summer_2021,SR1,29.5,37.5,11,17,1,21,21,10.5,10.5,1,1,2
SR1_Winter_2019,SR1,50.5,121,13,17,1,21,64,10.5,32,1,1,2
SR1_Winter_2020,SR1,71.5,97,17,19,1,22,29,11,14.5,1,1,2
SR1_Winter_2021,SR1,66,108.5,16,19,1,25,30,12.5,15,1,1,2
SR10_Autumn_2021,SR10,40.5,59,23,29,0,0,0,0,0,0,0,2
SR10_SpringE_2020,SR10,51.5,76,25,29,0,0,0,0,0,0,0,2
SR10_SpringL_2019,SR10,32.5,67,21,31,0,0,0,0,0,0,0,2
SR10_SpringL_2020,SR10,48,66.5,29,33,0,0,0,0,0,0,0,2
SR10_SpringL_2021,SR10,28,42.5,22,29,0,0,0,0,0,0,0,2
SR10_Summer_2019,SR10,35.5,64.5,22,30,0,0,0,0,0,0,0,2
SR10_Summer_2020,SR10,29,40.5,22,27,0,0,0,0,0,0,0,2
SR10_Summer_2021,SR10,23,36.5,19,25,1,0,1,0,0.5,0,0,2
SR10_Winter_2019,SR10,23.5,73.5,16,26,0,0,0,0,0,0,0,2
SR10_Winter_2020,SR10,29,58,16,26,0,0,0,0,0,0,0,2
SR10_Winter_2021,SR10,57,77,25,30,0,0,0,0,0,0,0,2
SR2_Autumn_2021,SR2,41.5,67.5,18,21,1,9,10,4.5,5,1,0,2
SR2_SpringE_2020,SR2,56,88,17,20,1,9,14,4.5,7,1,1,2
SR2_SpringL_2019,SR2,37,60,18,23,1,12,18,6,9,1,1,2
SR2_SpringL_2020,SR2,57.5,88.5,21,23,1,19,35,9.5,17.5,1,1,2
SR2_SpringL_2021,SR2,32.5,41.5,14,20,1,6,6,3,3,1,0,2
SR2_Summer_2019,SR2,33.5,61.5,15,22,1,6,12,3,6,1,0,2
SR2_Summer_2020,SR2,41,45,12,15,1,27,27,13.5,13.5,1,1,2
SR2_Summer_2021,SR2,18,23.5,12,14,1,4,4,2,2,0,0,2
SR2_Winter_2019,SR2,23,82,9,13,1,14,56,7,28,1,1,2
SR2_Winter_2020,SR2,53.5,74.5,15,22,1,8,14,4,7,1,1,2
SR2_Winter_2021,SR2,83.5,106.5,16,23,1,29,29,14.5,14.5,1,1,2
SR3_Autumn_2021,SR3,47,56.5,19,21,1,2,2,1,1,0,0,2
SR3_SpringE_2020,SR3,57,66.5,25,27,1,1,1,0.5,0.5,0,0,2
SR3_SpringL_2019,SR3,48.5,79.5,25,35,1,0,5,0,2.5,0,0,2
SR3_SpringL_2020,SR3,56.5,77,17,24,1,11,12,5.5,6,1,0,2
SR3_SpringL_2021,SR3,32.5,41.5,23,25,0,0,0,0,0,0,0,2
SR3_Summer_2019,SR3,36,62.5,16,20,1,4,4,2,2,0,0,2
SR3_Summer_2020,SR3,36.5,40.5,20,26,1,4,4,2,2,0,0,2
SR3_Summer_2021,SR3,43,70,17,29,0,0,0,0,0,0,0,2
SR3_Winter_2019,SR3,21.5,57,16,22,1,0,2,0,1,0,0,2
SR3_Winter_2020,SR3,57,88,21,27,1,4,4,2,2,0,0,2
SR3_Winter_2021,SR3,55.5,63.5,23,25,1,21,21,10.5,10.5,1,1,2
SR4_Autumn_2021,SR4,32,44.5,22,25,1,0,2,0,1,0,0,2
SR4_SpringE_2020,SR4,36.5,48,19,24,0,0,0,0,0,0,0,2
SR4_SpringL_2019,SR4,51,63,27,28,1,2,2,1,1,0,0,2
SR4_SpringL_2020,SR4,30,37.5,18,21,1,5,5,2.5,2.5,1,0,2
SR4_SpringL_2021,SR4,33,45.5,26,31,1,3,3,1.5,1.5,0,0,2
SR4_Summer_2019,SR4,14,28,7,13,1,3,5,1.5,2.5,0,0,2
SR4_Summer_2020,SR4,17,26,13,18,1,1,1,0.5,0.5,0,0,2
SR4_Summer_2021,SR4,33,48.5,21,27,1,4,12,2,6,0,0,2
SR4_Winter_2019,SR4,26.5,61.5,13,17,1,2,2,1,1,0,0,2
SR4_Winter_2020,SR4,25,35.5,11,16,1,0,2,0,1,0,0,2
SR4_Winter_2021,SR4,59.5,66,17,20,1,28,28,14,14,1,1,2
SR5_Autumn_2021,SR5,69,89.5,24,28,0,0,0,0,0,0,0,2
SR5_SpringE_2020,SR5,91.5,148,27,32,0,0,0,0,0,0,0,2
SR5_SpringL_2019,SR5,60.5,103,26,31,0,0,0,0,0,0,0,2
SR5_SpringL_2020,SR5,89.5,107,35,39,1,2,2,1,1,0,0,2
SR5_SpringL_2021,SR5,50,67,30,37,0,0,0,0,0,0,0,2
SR5_Summer_2019,SR5,42,85.5,21,26,0,0,0,0,0,0,0,2
SR5_Summer_2020,SR5,91.5,104,28,31,0,0,0,0,0,0,0,2
SR5_Summer_2021,SR5,114.5,132,33,37,0,0,0,0,0,0,0,2
SR5_Winter_2019,SR5,42.5,108.5,23,28,1,3,5,1.5,2.5,0,0,2
SR5_Winter_2020,SR5,81.5,126,25,30,0,0,0,0,0,0,0,2
SR5_Winter_2021,SR5,106,144.5,30,32,1,8,12,4,6,1,0,2
SR6_Autumn_2021,SR6,95,115,32,35,1,2,3,1,1.5,0,0,2
SR6_SpringE_2020,SR6,79.5,119.5,27,33,0,0,0,0,0,0,0,2
SR6_SpringL_2019,SR6,90,123.5,37,42,1,0,3,0,1.5,0,0,2
SR6_SpringL_2020,SR6,87,110.5,39,44,0,0,0,0,0,0,0,2
SR6_SpringL_2021,SR6,49,70.5,30,37,0,0,0,0,0,0,0,2
SR6_Summer_2019,SR6,32,69,21,26,0,0,0,0,0,0,0,2
SR6_Summer_2020,SR6,87,109,36,42,1,0,3,0,1.5,0,0,2
SR6_Summer_2021,SR6,69.5,94,38,47,0,0,0,0,0,0,0,2
SR6_Winter_2019,SR6,49.5,130.5,25,35,0,0,0,0,0,0,0,2
SR6_Winter_2020,SR6,66.5,82.5,30,35,1,10,13,5,6.5,1,0,2
SR6_Winter_2021,SR6,72,99.5,28,32,1,8,10,4,5,1,0,2
SR7_Autumn_2021,SR7,38,42,18,20,1,10,10,5,5,1,0,2
SR7_SpringE_2020,SR7,32,35.5,16,19,1,12,12,6,6,1,0,2
SR7_SpringL_2019,SR7,51,74,24,30,1,5,5,2.5,2.5,1,0,2
SR7_SpringL_2020,SR7,42,50,20,24,1,22,22,11,11,1,1,2
SR7_SpringL_2021,SR7,26,31,16,19,1,12,12,6,6,1,0,2
SR7_Summer_2019,SR7,24,41.5,13,17,1,11,14,5.5,7,1,1,2
SR7_Summer_2020,SR7,27.5,37,16,20,1,18,18,9,9,1,1,2
SR7_Summer_2021,SR7,21.5,31,12,16,1,17,17,8.5,8.5,1,1,2
SR7_Winter_2019,SR7,27,73,16,23,1,6,27,3,13.5,1,1,2
SR7_Winter_2020,SR7,54,68.5,17,22,1,13,14,6.5,7,1,1,2
SR7_Winter_2021,SR7,64,97.5,21,29,1,36,40,18,20,1,1,2
SR8_Autumn_2021,SR8,32.5,34,16,18,0,0,0,0,0,0,0,2
SR8_SpringE_2020,SR8,50.5,68,18,21,0,0,0,0,0,0,0,2
SR8_SpringL_2019,SR8,40.5,72.5,24,29,0,0,0,0,0,0,0,2
SR8_SpringL_2020,SR8,44,57,22,23,0,0,0,0,0,0,0,2
SR8_SpringL_2021,SR8,36.5,48.5,19,27,0,0,0,0,0,0,0,2
SR8_Summer_2019,SR8,21,40,13,19,1,1,1,0.5,0.5,0,0,2
SR8_Summer_2020,SR8,29.5,44.5,20,27,1,2,2,1,1,0,0,2
SR8_Summer_2021,SR8,33.5,53,17,27,0,0,0,0,0,0,0,2
SR8_Winter_2019,SR8,32,75.5,21,28,0,0,0,0,0,0,0,2
SR8_Winter_2020,SR8,51.5,83,19,25,1,4,7,2,3.5,0,0,2
SR8_Winter_2021,SR8,52,58,20,21,1,4,4,2,2,0,0,2
SR9_Autumn_2021,SR9,52,75,25,29,0,0,0,0,0,0,0,2
SR9_SpringE_2020,SR9,70.5,104,28,32,0,0,0,0,0,0,0,2
SR9_SpringL_2019,SR9,41.5,70,23,29,1,5,5,2.5,2.5,1,0,2
SR9_SpringL_2020,SR9,59.5,76.5,33,35,0,0,0,0,0,0,0,2
SR9_SpringL_2021,SR9,36,49,21,28,0,0,0,0,0,0,0,2
SR9_Summer_2019,SR9,28.5,70.5,16,26,0,0,0,0,0,0,0,2
SR9_Summer_2020,SR9,22.5,38.5,14,19,0,0,0,0,0,0,0,2
SR9_Summer_2021,SR9,34,45,30,32,0,0,0,0,0,0,0,2
SR9_Winter_2019,SR9,27,79.5,12,17,0,0,0,0,0,0,0,2
SR9_Winter_2020,SR9,44,53.5,18,24,0,0,0,0,0,0,0,2
SR9_Winter_2021,SR9,52,71.5,27,32,1,7,7,3.5,3.5,1,0,2
Y1_Autumn_2021,Y1,43.5,77,25,34,1,12,15,6,7.5,1,1,2
Y1_SpringE_2020,Y1,49,62.5,19,19,1,25,43,12.5,21.5,1,1,2
Y1_SpringL_2019,Y1,61.5,80,27,28,1,23,28,11.5,14,1,1,2
Y1_SpringL_2020,Y1,49.5,66.5,22,22,1,30,47,15,23.5,1,1,2
Y1_SpringL_2021,Y1,34,43,28,31,1,2,7,1,3.5,0,0,2
Y1_Summer_2019,Y1,25,54.5,15,25,1,10,16,5,8,1,1,2
Y1_Summer_2020,Y1,56.5,73.5,21,21,1,40,59,20,29.5,1,1,2
Y1_Summer_2021,Y1,37.5,61,27,33,1,6,10,3,5,1,0,2
Y1_Winter_2019,Y1,43,63.5,16,16,1,30,30,15,15,1,1,2
Y1_Winter_2020,Y1,51,68.5,19,19,1,28,54,14,27,1,1,2
Y1_Winter_2021,Y1,40,59,22,28,1,14,14,7,7,1,1,2
Y2_Autumn_2021,Y2,74.5,116.5,32,36,0,0,0,0,0,0,0,2
Y2_SpringE_2020,Y2,48,65,18,21,1,7,11,3.5,5.5,1,0,2
Y2_SpringL_2019,Y2,36,52,20,26,1,7,7,3.5,3.5,1,0,2
Y2_SpringL_2020,Y2,65,100,19,22,1,6,12,3,6,1,0,2
Y2_SpringL_2021,Y2,33,49.5,28,32,0,0,0,0,0,0,0,2
Y2_Summer_2019,Y2,45,87.5,20,34,1,4,4,2,2,0,0,2
Y2_Summer_2020,Y2,70,110,26,29,0,0,0,0,0,0,0,2
Y2_Summer_2021,Y2,51,62.5,29,34,0,0,0,0,0,0,0,2
Y2_Winter_2019,Y2,35,62,14,18,1,16,26,8,13,1,1,2
Y2_Winter_2020,Y2,54,75,17,21,1,8,12,4,6,1,0,2
Y2_Winter_2021,Y2,49.5,69,17,22,1,0,3,0,1.5,0,0,2
Y3_Autumn_2021,Y3,59,91.5,26,35,0,0,0,0,0,0,0,2
Y3_SpringE_2020,Y3,33.5,48,16,18,1,2,4,1,2,0,0,2
Y3_SpringL_2019,Y3,39.5,62,23,27,1,2,3,1,1.5,0,0,2
Y3_SpringL_2020,Y3,56,77.5,22,24,1,0,2,0,1,0,0,2
Y3_SpringL_2021,Y3,37,52,23,30,0,0,0,0,0,0,0,2
Y3_Summer_2019,Y3,29,53,18,24,1,10,10,5,5,1,0,2
Y3_Summer_2020,Y3,54.5,73,23,23,1,6,10,3,5,1,0,2
Y3_Summer_2021,Y3,34.5,53,22,32,1,1,3,0.5,1.5,0,0,2
Y3_Winter_2019,Y3,39,82,14,15,1,10,20,5,10,1,1,2
Y3_Winter_2020,Y3,37.5,52.5,17,18,1,2,4,1,2,0,0,2
Y3_Winter_2021,Y3,38,77.5,20,28,1,2,2,1,1,0,0,2
Y4_Autumn_2021,Y4,46.5,70,23,29,1,12,13,6,6.5,1,0,2
Y4_SpringE_2020,Y4,36.5,53,19,19,1,1,3,0.5,1.5,0,0,2
Y4_SpringL_2019,Y4,58.5,76,25,28,1,4,4,2,2,0,0,2
Y4_SpringL_2020,Y4,42.5,60.5,21,22,0,0,0,0,0,0,0,2
Y4_SpringL_2021,Y4,89.5,108.5,22,34,1,4,12,2,6,0,0,2
Y4_Summer_2019,Y4,36.5,64,19,28,1,5,7,2.5,3.5,1,0,2
Y4_Summer_2020,Y4,50,68,21,21,0,0,0,0,0,0,0,2
Y4_Summer_2021,Y4,40.5,59,30,40,1,5,7,2.5,3.5,1,0,2
Y4_Winter_2019,Y4,52.5,90.5,20,22,1,20,20,10,10,1,1,2
Y4_Winter_2020,Y4,35,50.5,19,19,1,4,6,2,3,0,0,2
Y4_Winter_2021,Y4,43.5,59.5,19,20,1,11,13,5.5,6.5,1,0,2
Y5_Autumn_2021,Y5,35,53,18,23,1,15,19,7.5,9.5,1,1,2
Y5_SpringE_2020,Y5,44,64,20,22,1,5,7,2.5,3.5,1,0,2
Y5_SpringL_2019,Y5,63,112.5,29,36,1,10,13,5,6.5,1,0,2
Y5_SpringL_2020,Y5,53.5,85,23,24,1,9,17,4.5,8.5,1,1,2
Y5_SpringL_2021,Y5,25.5,33,15,17,1,14,17,7,8.5,1,1,2
Y5_Summer_2019,Y5,29,42.5,18,20,1,6,7,3,3.5,1,0,2
Y5_Summer_2020,Y5,56.5,91,25,28,1,11,19,5.5,9.5,1,1,2
Y5_Summer_2021,Y5,22,29,14,15,1,10,10,5,5,1,0,2
Y5_Winter_2019,Y5,55,77,11,13,1,30,30,15,15,1,1,2
Y5_Winter_2020,Y5,42.5,59,20,21,1,3,5,1.5,2.5,0,0,2
Y5_Winter_2021,Y5,35.5,49,11,12,1,25,29,12.5,14.5,1,1,2
Y6_Autumn_2021,Y6,62,99.5,26,33,1,5,5,2.5,2.5,1,0,2
Y6_SpringE_2020,Y6,47.5,60,21,22,1,19,26,9.5,13,1,1,2
Y6_SpringL_2020,Y6,73,96.5,24,26,1,21,29,10.5,14.5,1,1,2
Y6_SpringL_2021,Y6,46,59.5,29,35,0,0,0,0,0,0,0,2
Y6_Summer_2019,Y6,35.5,56,17,26,1,3,4,1.5,2,0,0,2
Y6_Summer_2020,Y6,62,84,24,28,1,19,24,9.5,12,1,1,2
Y6_Summer_2021,Y6,39.5,47.5,29,31,0,0,0,0,0,0,0,2
Y6_Winter_2019,Y6,34,66,10,12,0,0,0,0,0,0,0,2
Y6_Winter_2020,Y6,52.5,64.5,22,23,1,29,42,14.5,21,1,1,2
Y6_Winter_2021,Y6,34,51,22,26,1,0,2,0,1,0,0,2
RC1_Summer_2019,RC1,17,44,8,14,1,6,13,6,13,1,1,1
RC2_Summer_2019,RC2,18,42,10,20,1,4,4,4,4,1,0,1
RC3_Summer_2019,RC3,44,65,13,22,0,0,0,0,0,0,0,1
RC4_Summer_2019,RC4,51,101,9,15,0,0,0,0,0,0,0,1
RC5_Summer_2019,RC5,68,128,13,21,1,0,2,0,2,0,0,1
RC6_Summer_2019,RC6,108,161,11,16,1,12,12,12,12,1,1,1
Y6_SpringL_2019,Y6,7,29,4,16,0,0,0,0,0,0,0,1
